Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
26-MAR-2024,871.9,890.7,868.65,888.2,10697398,1182.67
27-MAR-2024,893.9,900.5,892.4,895.75,10240524,1133.55
28-MAR-2024,900.6,905.4,889.15,900.65,11072163,1282.9
01-APR-2024,904.4,943.3,903.15,939.9,14893871,1618.8
02-APR-2024,942.75,959.1,940.05,949.35,9437070,1202.41
03-APR-2024,946.2,946.25,923,924.85,12615718,1431.55
04-APR-2024,930.6,931.45,919.05,924.5,9668925,1064.15
05-APR-2024,928.05,941.3,926.2,937.75,13299031,1550.25
08-APR-2024,948.2,963.8,947.05,950.25,14292232,2126.79
09-APR-2024,959.2,970.2,951.35,955.3,12037684,1955.75
10-APR-2024,959.8,968.95,958.85,960.9,6199524,883.3
12-APR-2024,962.55,970.85,950.85,952.4,8517077,1108.59
15-APR-2024,930,950.95,925,942.05,7569668,943.26
16-APR-2024,935.2,942,930.15,937.75,7245226,977.97
18-APR-2024,942.5,952.05,928.9,932.75,10395242,1330.58
19-APR-2024,920.2,928.65,909.7,926.25,8678875,1027.46
22-APR-2024,935.8,941.35,931.15,933.1,9530564,1172.16
23-APR-2024,941.4,962.25,939.4,957.2,12469657,1601.69
24-APR-2024,963.85,970.4,961.6,965.75,7119099,832.31
25-APR-2024,970.8,972.2,950.8,963.35,6142407,802.14
26-APR-2024,966.5,971.55,956.95,969.05,7878795,949.07
29-APR-2024,969.6,973.45,952.05,959.35,6607662,759.37
30-APR-2024,962.65,983.1,962.35,973.25,8355016,1021.41
02-MAY-2024,972.6,973.95,956.9,972.65,8584938,1249.57
03-MAY-2024,979.9,980.65,957.1,962.65,13272655,1910.85
06-MAY-2024,973.4,990.75,961.65,989.2,18181602,3034
07-MAY-2024,989.95,994.35,946,954.7,14361765,2010.54
08-MAY-2024,955.2,964.8,939.6,960.85,11044484,1393.42
09-MAY-2024,965.15,967.6,936.25,939.45,8067603,1045.93
10-MAY-2024,943.55,949.15,922.1,935.35,10114166,1228.54
13-MAY-2024,934.8,949,914.35,946.9,8675041,1082.46
14-MAY-2024,949.7,962.8,946.7,955.25,10640642,1224.83
15-MAY-2024,957.15,978.75,948.8,965,15442060,2100.19
16-MAY-2024,972.45,984.35,968.9,980.75,17165186,2448.04
17-MAY-2024,986.4,999,980.05,997.1,11826443,1658.59
18-MAY-2024,1001.95,1009.95,999.75,1004.85,903737,137.02
21-MAY-2024,1006.65,1007.45,992.55,1004.7,10815798,1574.59
22-MAY-2024,1010.05,1023.25,1008.3,1018.9,13117539,1904.44
23-MAY-2024,1028.1,1033.05,1015.3,1030.4,11750666,1669.29
24-MAY-2024,1028.7,1032,1020.7,1023.65,8562872,1236.59
27-MAY-2024,1029,1040.75,1026.95,1032.35,9895433,1622.79
28-MAY-2024,1034.35,1035.25,1005.65,1010,8610308,1247
29-MAY-2024,1007.8,1012.95,998.65,1000.95,14758172,1782.95
30-MAY-2024,998.95,1002.4,992.3,996.05,9037317,1180.7
31-MAY-2024,1011.75,1032.85,1005.25,1019.4,44752495,7601.24
03-JUN-2024,1059.6,1082.45,1049.8,1080.05,18970319,2615.22
04-JUN-2024,1085.6,1085.6,930.9,976.1,21321359,2457.12
05-JUN-2024,986.3,1008.2,936.95,1000.8,15092336,1918.13
06-JUN-2024,1011.35,1053.8,1011.35,1047.75,12361930,1604.59
07-JUN-2024,1054.75,1072.45,1050.5,1069.5,12878086,1460.52
10-JUN-2024,1077.05,1089.85,1075.65,1083.65,12094948,1597.4
11-JUN-2024,1093.35,1104.2,1090.8,1095.85,9408818,1328.12
12-JUN-2024,1095.1,1099.45,1087.4,1095.4,14368725,1549.98
13-JUN-2024,1107.05,1122.15,1102.35,1119.9,12756973,1872.21
14-JUN-2024,1126.75,1134.9,1121.55,1129.1,9559392,1451.46
18-JUN-2024,1130.35,1157.35,1128.15,1150.3,10381577,1685.49
19-JUN-2024,1149.25,1149.9,1111,1117.7,14619411,1704.11
20-JUN-2024,1124.65,1145.6,1119.45,1140.3,9034303,1325.06
21-JUN-2024,1140.5,1148.1,1126.8,1131.9,10967951,1669.22
24-JUN-2024,1129.1,1138,1115.7,1135.35,11585845,1796.78
25-JUN-2024,1140.15,1141.35,1105.6,1115.5,12268177,1629.21
26-JUN-2024,1116.75,1118.85,1097.15,1099.5,9860197,1313.56
27-JUN-2024,1097.4,1107.95,1088.35,1098.95,14952164,1946.4
28-JUN-2024,1099.25,1113.6,1090.65,1104.75,9627447,1403.34
